ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DAY_OF_WEEK,total_flights,delay_rate
10135,10693,4,4,25.0
10135,10693,7,4,0.0
10135,11057,1,15,0.0
10135,11057,2,15,20.0
10135,11057,3,12,0.0
10135,11057,4,12,16.666666666666664
10135,11057,5,12,8.333333333333332
10135,11057,6,12,0.0
10135,11057,7,12,8.333333333333332
10135,11292,4,4,0.0
10135,11292,7,4,0.0
10135,13204,4,4,25.0
10135,13204,7,4,0.0
10135,13360,1,5,0.0
10135,13360,5,4,0.0
10135,13577,1,5,0.0
10135,13577,4,4,25.0
10135,13577,5,4,0.0
10135,13577,7,4,25.0
10135,13930,1,5,20.0
10135,13930,2,5,0.0
10135,13930,3,4,0.0
10135,13930,4,4,0.0
10135,13930,5,4,0.0
10135,13930,6,4,25.0
10135,13930,7,4,25.0
10135,14082,1,5,0.0
10135,14082,5,4,50.0
10135,14112,1,5,0.0
10135,14112,4,4,25.0
10135,14112,5,4,0.0
10135,14112,7,4,25.0
10135,14761,1,10,0.0
10135,14761,2,5,20.0
10135,14761,3,4,25.0
10135,14761,4,4,0.0
10135,14761,5,8,0.0
10135,14761,6,4,75.0
10135,14761,7,4,0.0
10135,14986,4,4,25.0
10135,14986,7,4,25.0
10136,11298,1,25,32.0
10136,11298,2,20,20.0
10136,11298,3,20,35.0
10136,11298,4,20,20.0
10136,11298,5,20,5.555555555555555
10136,11298,6,20,10.0
10136,11298,7,20,20.0
10140,10397,1,13,7.6923076923076925
10140,10397,2,13,0.0
10140,10397,3,10,0.0
10140,10397,4,11,0.0
10140,10397,5,11,27.27272727272727
10140,10397,6,8,0.0
10140,10397,7,11,0.0
10140,10423,1,10,10.0
10140,10423,2,10,0.0
10140,10423,3,8,12.5
10140,10423,4,8,12.5
10140,10423,5,8,25.0
10140,10423,6,4,0.0
10140,10423,7,12,16.666666666666664
10140,10693,1,5,40.0
10140,10693,2,5,20.0
10140,10693,3,4,0.0
10140,10693,4,4,25.0
10140,10693,5,4,50.0
10140,10693,6,4,0.0
10140,10693,7,4,25.0
10140,10800,1,5,60.0
10140,10800,2,5,0.0
10140,10800,3,4,0.0
10140,10800,4,4,25.0
10140,10800,5,4,25.0
10140,10800,6,4,0.0
10140,10800,7,4,25.0
10140,10821,1,5,20.0
10140,10821,2,5,0.0
10140,10821,3,4,0.0
10140,10821,4,4,75.0
10140,10821,5,4,50.0
10140,10821,6,4,0.0
10140,10821,7,4,0.0
10140,11259,1,25,4.0
10140,11259,2,20,5.0
10140,11259,3,16,6.25
10140,11259,4,20,10.0
10140,11259,5,20,20.0
10140,11259,6,12,8.333333333333332
10140,11259,7,20,15.0
10140,11292,1,45,13.333333333333334
10140,11292,2,40,22.5
10140,11292,3,32,9.375
10140,11292,4,36,19.444444444444446
10140,11292,5,36,22.22222222222222
10140,11292,6,32,15.625
10140,11292,7,36,8.333333333333332
10140,11298,1,32,29.03225806451613
10140,11298,2,31,13.333333333333334
10140,11298,3,24,33.33333333333333
10140,11298,4,27,15.384615384615385
10140,11298,5,24,25.0
10140,11298,6,24,27.27272727272727
10140,11298,7,28,21.428571428571427
10140,12191,1,15,13.333333333333334
10140,12191,2,10,20.0
10140,12191,3,8,0.0
10140,12191,4,12,0.0
10140,12191,5,12,0.0
10140,12191,6,8,12.5
10140,12191,7,12,8.333333333333332
10140,12264,1,5,0.0
10140,12264,2,5,0.0
10140,12264,3,4,0.0
10140,12264,4,4,25.0
10140,12264,5,4,0.0
10140,12264,6,4,50.0
10140,12264,7,4,25.0
10140,12266,1,5,0.0
10140,12266,2,5,20.0
10140,12266,3,4,0.0
10140,12266,4,4,0.0
10140,12266,5,4,0.0
10140,12266,6,4,0.0
10140,12266,7,4,0.0
10140,12478,1,5,0.0
10140,12478,2,5,0.0
10140,12478,3,4,0.0
10140,12478,4,4,75.0
10140,12478,5,4,0.0
10140,12478,7,4,75.0
10140,12889,1,25,12.0
10140,12889,2,20,0.0
10140,12889,3,16,6.25
10140,12889,4,24,29.166666666666668
10140,12889,5,20,35.0
10140,12889,6,12,8.333333333333332
10140,12889,7,24,4.3478260869565215
10140,12892,1,28,7.142857142857142
10140,12892,2,28,7.142857142857142
10140,12892,3,22,18.181818181818183
10140,12892,4,23,13.043478260869565
10140,12892,5,23,26.08695652173913
10140,12892,6,19,5.263157894736842
10140,12892,7,23,21.73913043478261
10140,12954,1,5,0.0
10140,12954,4,4,0.0
10140,12954,5,4,0.0
10140,12954,7,4,25.0
10140,13198,1,5,20.0
10140,13198,2,5,20.0
10140,13198,3,4,25.0
10140,13198,4,4,0.0
10140,13198,5,4,50.0
10140,13198,7,4,50.0
10140,13232,1,10,10.0
10140,13232,2,10,10.0
10140,13232,3,8,12.5
10140,13232,4,8,12.5
10140,13232,5,8,12.5
10140,13232,6,4,25.0
10140,13232,7,8,12.5
10140,13487,1,5,0.0
10140,13487,2,5,0.0
10140,13487,3,4,0.0
10140,13487,4,4,0.0
10140,13487,5,4,25.0
10140,13487,6,4,0.0
10140,13487,7,4,25.0
10140,13796,1,5,40.0
10140,13796,2,5,0.0
10140,13796,3,4,0.0
10140,13796,4,4,25.0
10140,13796,5,4,0.0
10140,13796,6,4,0.0
10140,13796,7,4,25.0
10140,13930,1,19,5.263157894736842
10140,13930,2,19,10.526315789473683
10140,13930,3,15,13.333333333333334
10140,13930,4,16,12.5
10140,13930,5,16,6.25
10140,13930,6,16,62.5
10140,13930,7,16,0.0
10140,14107,1,45,20.0
10140,14107,2,40,2.5
10140,14107,3,32,12.5
10140,14107,4,35,14.285714285714285
10140,14107,5,32,34.48275862068966
10140,14107,6,20,15.0
10140,14107,7,32,18.75
10140,14679,1,10,10.0
10140,14679,2,10,10.0
10140,14679,3,8,12.5
10140,14679,4,8,37.5
10140,14679,5,8,50.0
10140,14679,6,8,25.0
10140,14679,7,8,12.5
10140,14747,1,10,10.0
10140,14747,2,5,0.0
10140,14747,3,8,0.0
10140,14747,4,8,25.0
10140,14747,5,8,25.0
10140,14747,6,4,0.0
10140,14747,7,8,12.5
10140,14771,1,10,30.0
10140,14771,2,10,0.0
10140,14771,3,8,0.0
10140,14771,4,8,0.0
10140,14771,5,8,37.5
10140,14771,6,7,0.0
10140,14771,7,8,12.5
10140,14869,1,15,0.0
10140,14869,2,15,6.666666666666667
10140,14869,3,12,0.0
10140,14869,4,12,0.0
10140,14869,5,12,8.333333333333332
10140,14869,6,12,0.0
10140,14869,7,12,0.0
10141,13487,1,10,10.0
10141,13487,2,10,0.0
10141,13487,3,8,25.0
10141,13487,4,8,0.0
10141,13487,5,8,12.5
10141,13487,6,8,12.5
10141,13487,7,8,0.0
10146,10397,1,9,11.11111111111111
10146,10397,2,9,0.0
10146,10397,3,8,25.0
10146,10397,4,6,16.666666666666664
10146,10397,5,6,33.33333333333333
10146,10397,6,2,0.0
10146,10397,7,6,0.0
10154,10721,1,6,66.66666666666666
10154,10721,2,6,83.33333333333334
10154,10721,3,4,75.0
10154,10721,4,4,50.0
10154,10721,5,4,75.0
10154,10721,6,4,25.0
10154,10721,7,4,50.0
10154,11278,1,7,14.285714285714285
10154,11278,2,7,28.57142857142857
10154,11278,3,4,75.0
10154,11278,4,4,75.0
10154,11278,5,4,0.0
10154,11278,6,4,25.0
10154,11278,7,4,50.0
10154,12197,1,6,0.0
10154,12197,2,6,0.0
10154,12197,3,4,0.0
10154,12197,4,4,50.0
10154,12197,5,4,25.0
10154,12197,6,4,0.0
10154,12197,7,4,25.0
10154,12478,1,7,42.857142857142854
10154,12478,2,7,14.285714285714285
10154,12478,3,5,0.0
10154,12478,4,5,20.0
10154,12478,5,5,0.0
10154,12478,6,5,40.0
10154,12478,7,5,40.0
10154,12953,1,8,25.0
10154,12953,2,4,25.0
10154,12953,3,2,50.0
10154,12953,4,6,0.0
10154,12953,5,6,0.0
10154,12953,6,6,20.0
10154,12953,7,6,33.33333333333333
10154,14100,1,1,100.0
10154,14100,2,1,0.0
10155,11298,1,15,20.0
10155,11298,2,15,0.0
10155,11298,3,12,33.33333333333333
10155,11298,4,12,16.666666666666664
10155,11298,5,12,18.181818181818183
10155,11298,6,12,33.33333333333333
10155,11298,7,12,16.666666666666664
10157,11292,1,5,20.0
10157,11292,2,5,20.0
10157,11292,3,4,25.0
10157,11292,4,4,25.0
10157,11292,5,4,25.0
10157,11292,6,4,25.0
10157,11292,7,4,0.0
10157,12892,1,5,20.0
10157,12892,2,5,0.0
10157,12892,3,4,0.0
10157,12892,4,4,25.0
10157,12892,5,4,25.0
10157,12892,6,4,0.0
10157,12892,7,4,0.0
10157,14771,1,17,47.05882352941176
10157,14771,2,16,43.75
10157,14771,3,12,41.66666666666667
10157,14771,4,13,53.84615384615385
10157,14771,5,13,46.15384615384615
10157,14771,6,13,7.6923076923076925
10157,14771,7,13,46.15384615384615
10158,11697,1,9,0.0
10158,11697,2,6,16.666666666666664
10158,11697,3,5,20.0
10158,11697,4,8,12.5
10158,11697,5,8,0.0
10158,11697,6,8,12.5
10158,11697,7,8,12.5
10158,13204,1,11,18.181818181818183
10158,13204,2,11,0.0
10158,13204,3,9,11.11111111111111
10158,13204,4,8,25.0
10158,13204,5,8,25.0
10158,13204,6,8,0.0
10158,13204,7,8,25.0
10158,13303,1,5,20.0
10158,13303,3,1,0.0
10158,13303,5,4,0.0
10158,13303,6,4,0.0
10158,13577,1,5,20.0
10158,13577,2,5,20.0
10158,13577,3,4,0.0
10158,13577,4,4,0.0
10158,13577,5,4,25.0
10158,13577,6,4,25.0
10158,13577,7,4,0.0
10158,14027,1,5,40.0
10158,14027,2,6,33.33333333333333
10158,14027,3,5,0.0
10158,14027,4,8,0.0
10158,14027,5,4,0.0
10158,14027,6,8,12.5
10158,14027,7,8,25.0
10158,14635,1,5,20.0
10158,14635,2,6,0.0
10158,14635,3,4,25.0
10158,14635,4,4,0.0
10158,14635,5,4,25.0
10158,14635,6,4,0.0
10158,14635,7,4,0.0
10158,15304,1,10,0.0
10158,15304,2,6,0.0
10158,15304,3,5,0.0
10158,15304,4,7,0.0
10158,15304,5,8,12.5
10158,15304,6,4,0.0
10158,15304,7,8,12.5
10165,10299,3,4,33.33333333333333
10165,10299,6,4,33.33333333333333
10170,10299,1,15,6.666666666666667
10170,10299,2,15,13.333333333333334
10170,10299,3,12,0.0
10170,10299,4,12,18.181818181818183
10170,10299,5,12,8.333333333333332
10170,10299,6,12,16.666666666666664
10170,10299,7,12,0.0
10185,11298,1,15,40.0
10185,11298,2,15,13.333333333333334
10185,11298,3,12,16.666666666666664
10185,11298,4,12,25.0
10185,11298,5,12,9.090909090909092
10185,11298,6,12,33.33333333333333
10185,11298,7,12,0.0
10208,10397,1,14,7.142857142857142
10208,10397,2,13,7.6923076923076925
10208,10397,3,13,0.0
10208,10397,4,11,9.090909090909092
10208,10397,5,9,11.11111111111111
10208,10397,6,6,0.0
10208,10397,7,12,8.333333333333332
10208,11057,1,1,0.0
10208,11278,1,5,0.0
10208,11278,2,5,0.0
10208,11278,3,4,0.0
10208,11278,4,4,25.0
10208,11278,5,4,0.0
10208,11278,6,4,25.0
10208,11278,7,4,0.0
10208,11298,1,5,20.0
10208,11298,2,5,0.0
10208,11298,3,4,25.0
10208,11298,4,4,50.0
10208,11298,5,4,25.0
10208,11298,6,4,0.0
10208,11298,7,4,50.0
10245,10299,1,5,0.0
10245,10299,2,5,0.0
10245,10299,3,4,0.0
10245,10299,4,4,0.0
10245,10299,5,4,0.0
10245,10299,6,4,0.0
10245,10299,7,4,0.0
10257,10397,1,15,14.285714285714285
10257,10397,2,14,7.142857142857142
10257,10397,3,11,0.0
10257,10397,4,11,0.0
10257,10397,5,11,0.0
10257,10397,6,8,0.0
10257,10397,7,12,16.666666666666664
10257,10693,1,10,10.0
10257,10693,2,5,0.0
10257,10693,3,4,0.0
10257,10693,4,4,25.0
10257,10693,5,8,0.0
10257,10693,6,4,0.0
10257,10693,7,4,50.0
10257,10821,1,25,12.0
10257,10821,2,25,0.0
10257,10821,3,20,0.0
10257,10821,4,20,10.0
10257,10821,5,20,5.0
10257,10821,6,16,6.25
10257,10821,7,20,5.0
10257,11057,1,16,12.5
10257,11057,2,15,6.666666666666667
10257,11057,3,12,33.33333333333333
10257,11057,4,15,26.666666666666668
10257,11057,5,12,0.0
10257,11057,6,12,8.333333333333332
10257,11057,7,16,12.5
10257,11278,1,16,31.25
10257,11278,2,16,33.33333333333333
10257,11278,3,12,50.0
10257,11278,4,12,50.0
10257,11278,5,12,25.0
10257,11278,6,8,0.0
10257,11278,7,8,25.0
10257,11292,1,5,0.0
10257,11292,2,5,40.0
10257,11292,3,4,0.0
10257,11292,4,4,0.0
10257,11292,5,4,25.0
10257,11292,6,4,25.0
10257,11292,7,4,0.0
10257,11298,1,5,20.0
10257,11298,2,5,0.0
10257,11298,3,4,25.0
10257,11298,4,4,0.0
10257,11298,5,4,0.0
10257,11298,6,4,33.33333333333333
10257,11298,7,4,0.0
10257,11433,1,13,7.6923076923076925
10257,11433,2,13,0.0
10257,11433,3,10,0.0
10257,11433,4,11,9.090909090909092
10257,11433,5,11,0.0
10257,11433,6,8,0.0
10257,11433,7,11,9.090909090909092
10257,11697,1,5,0.0
10257,11697,2,6,0.0
10257,11697,5,4,25.0
10257,11697,6,4,0.0
10257,11697,7,4,0.0
10257,12889,1,5,0.0
10257,12889,4,4,50.0
10257,12889,5,4,50.0
10257,12889,7,4,0.0
10257,13204,1,11,27.27272727272727
10257,13204,2,7,0.0
10257,13204,3,5,20.0
10257,13204,4,8,0.0
10257,13204,5,8,0.0
10257,13204,6,12,8.333333333333332
10257,13204,7,12,16.666666666666664
10257,13232,1,15,6.666666666666667
10257,13232,2,10,0.0
10257,13232,3,8,0.0
10257,13232,4,12,8.333333333333332
10257,13232,5,12,0.0
10257,13232,6,8,12.5
10257,13232,7,12,16.666666666666664
10257,13577,1,5,20.0
10257,13577,5,4,0.0
10257,13930,1,35,34.285714285714285
10257,13930,2,29,6.896551724137931
10257,13930,3,23,17.391304347826086
10257,13930,4,27,22.22222222222222
10257,13930,5,28,21.428571428571427
10257,13930,6,23,26.08695652173913
10257,13930,7,28,25.0
10257,14082,4,4,0.0
10257,14082,7,4,0.0
10257,14112,1,5,20.0
10257,14112,5,4,25.0
10257,15304,6,4,0.0
10268,13930,1,10,30.0
10268,13930,2,5,20.0
10268,13930,3,7,0.0
10268,13930,4,7,28.57142857142857
10268,13930,5,8,12.5
10268,13930,6,7,42.857142857142854
10268,13930,7,8,0.0
10279,10423,1,5,0.0
10279,10423,4,4,0.0
10279,10423,5,4,0.0
10279,10423,7,4,0.0
10279,11259,1,20,25.0
10279,11259,2,15,20.0
10279,11259,3,12,16.666666666666664
10279,11259,4,16,6.25
10279,11259,5,16,18.75
10279,11259,6,12,8.333333333333332
10279,11259,7,12,0.0
10279,11292,1,10,50.0
10279,11292,2,10,40.0
10279,11292,3,8,25.0
10279,11292,4,8,25.0
10279,11292,5,8,25.0
10279,11292,6,4,0.0
10279,11292,7,8,12.5
10279,11298,1,36,19.444444444444446
10279,11298,2,30,6.666666666666667
10279,11298,3,28,17.857142857142858
10279,11298,4,31,16.129032258064516
10279,11298,5,28,4.0
10279,11298,6,24,4.166666666666666
10279,11298,7,32,21.875
10279,12889,1,5,20.0
10279,12889,2,5,20.0
10279,12889,3,4,25.0
10279,12889,4,4,25.0
10279,12889,5,4,100.0
10279,12889,6,4,25.0
10279,12889,7,4,0.0
10299,10165,3,4,33.33333333333333
10299,10165,6,4,33.33333333333333
10299,10170,1,15,20.0
10299,10170,2,15,6.666666666666667
10299,10170,3,12,8.333333333333332
10299,10170,4,12,18.181818181818183
10299,10170,5,12,8.333333333333332
10299,10170,6,12,16.666666666666664
10299,10170,7,12,0.0
10299,10245,1,5,0.0
10299,10245,2,5,0.0
10299,10245,3,4,0.0
10299,10245,4,4,0.0
10299,10245,5,4,0.0
10299,10245,6,4,0.0
10299,10245,7,4,25.0
10299,10397,1,1,0.0
10299,10397,2,1,0.0
10299,10397,3,1,0.0
10299,10397,4,1,0.0
10299,10397,5,1,0.0
10299,10397,6,4,50.0
10299,10397,7,1,0.0
10299,10551,1,10,20.0
10299,10551,2,10,10.0
10299,10551,3,8,12.5
10299,10551,4,8,37.5
10299,10551,5,8,0.0
10299,10551,6,8,12.5
10299,10551,7,8,0.0
10299,10754,1,5,20.0
10299,10754,2,5,0.0
10299,10754,3,4,0.0
10299,10754,4,4,50.0
10299,10754,5,4,0.0
10299,10754,6,4,0.0
10299,10754,7,4,25.0
10299,10926,1,5,0.0
10299,10926,2,5,0.0
10299,10926,3,4,0.0
10299,10926,4,4,0.0
10299,10926,5,4,0.0
10299,10926,6,4,0.0
10299,10926,7,4,25.0
10299,11292,1,7,14.285714285714285
10299,11292,2,7,0.0
10299,11292,3,6,0.0
10299,11292,4,6,0.0
10299,11292,5,6,0.0
10299,11292,6,6,0.0
10299,11292,7,5,20.0
10299,11298,1,6,50.0
10299,11298,2,6,16.666666666666664
10299,11298,3,4,0.0
10299,11298,4,4,75.0
10299,11298,5,4,50.0
10299,11298,6,4,25.0
10299,11298,7,4,25.0
10299,11336,1,5,0.0
10299,11336,2,5,20.0
10299,11336,3,4,0.0
10299,11336,4,4,0.0
10299,11336,5,4,0.0
10299,11336,6,4,25.0
10299,11336,7,4,25.0
10299,11433,1,1,0.0
10299,11433,2,1,0.0
10299,11433,3,1,0.0
10299,11433,4,1,0.0
10299,11433,5,1,0.0
10299,11433,6,2,0.0
10299,11433,7,1,0.0
10299,11618,1,1,0.0
10299,11630,1,10,0.0
10299,11630,2,10,0.0
10299,11630,3,8,0.0
10299,11630,4,8,0.0
10299,11630,5,8,12.5
10299,11630,6,8,0.0
10299,11630,7,8,0.0
10299,12173,1,5,0.0
10299,12173,2,5,0.0
10299,12173,3,4,0.0
10299,12173,4,4,25.0
10299,12173,5,4,0.0
10299,12173,6,4,0.0
10299,12173,7,4,0.0
10299,12264,1,1,100.0
10299,12264,2,1,0.0
10299,12264,3,1,0.0
10299,12264,4,1,0.0
10299,12264,5,1,0.0
10299,12264,6,1,0.0
10299,12264,7,1,0.0
10299,12266,1,4,0.0
10299,12266,2,4,0.0
10299,12266,3,4,0.0
10299,12266,4,3,0.0
10299,12266,5,3,0.0
10299,12266,6,3,0.0
10299,12266,7,3,0.0
10299,12523,1,20,10.0
10299,12523,2,20,0.0
10299,12523,3,16,25.0
10299,12523,4,16,18.75
10299,12523,5,16,12.5
10299,12523,6,16,12.5
10299,12523,7,16,12.5
10299,12889,5,4,25.0
10299,12889,7,4,0.0
10299,12892,1,5,0.0
10299,12892,2,5,0.0
10299,12892,3,1,0.0
10299,12892,4,4,25.0
10299,12892,5,4,25.0
10299,12892,7,4,0.0
10299,13487,1,11,9.090909090909092
10299,13487,2,11,0.0
10299,13487,3,9,11.11111111111111
10299,13487,4,9,33.33333333333333
10299,13487,5,9,11.11111111111111
10299,13487,6,10,0.0
10299,13487,7,9,11.11111111111111
10299,13873,1,5,20.0
10299,13873,2,5,40.0
10299,13873,3,4,0.0
10299,13873,4,4,0.0
10299,13873,5,4,50.0
10299,13873,6,4,25.0
10299,13873,7,4,0.0
10299,13930,1,15,0.0
10299,13930,2,15,6.666666666666667
10299,13930,3,13,7.6923076923076925
10299,13930,4,15,13.333333333333334
10299,13930,5,15,26.666666666666668
10299,13930,6,12,16.666666666666664
10299,13930,7,15,13.333333333333334
10299,13970,1,5,0.0
10299,13970,2,5,20.0
10299,13970,3,4,0.0
10299,13970,4,4,25.0
10299,13970,5,4,0.0
10299,13970,6,4,25.0
10299,13970,7,4,0.0
10299,14057,1,15,0.0
10299,14057,2,15,0.0
10299,14057,3,12,8.333333333333332
10299,14057,4,12,8.333333333333332
10299,14057,5,12,16.666666666666664
10299,14057,6,12,0.0
10299,14057,7,12,0.0
10299,14107,1,5,0.0
10299,14107,2,5,0.0
10299,14107,3,4,75.0
10299,14107,4,4,0.0
10299,14107,5,4,0.0
10299,14107,6,4,0.0
10299,14107,7,4,0.0
10299,14679,6,1,0.0
10299,14709,1,10,0.0
10299,14709,2,10,10.0
10299,14709,3,8,12.5
10299,14709,4,8,12.5
10299,14709,5,4,0.0
10299,14709,6,4,0.0
10299,14747,1,108,9.345794392523365
10299,14747,2,103,13.592233009708737
10299,14747,3,80,21.25
10299,14747,4,84,16.867469879518072
10299,14747,5,82,12.195121951219512
10299,14747,6,82,13.414634146341465
10299,14747,7,86,8.13953488372093
10299,14771,1,9,11.11111111111111
10299,14771,2,9,22.22222222222222
10299,14771,3,8,12.5
10299,14771,4,7,28.57142857142857
10299,14771,5,7,0.0
10299,14771,6,8,25.0
10299,14771,7,7,28.57142857142857
10299,14869,1,2,0.0
10299,14869,2,1,0.0
10299,14869,3,1,0.0
10299,14869,4,1,0.0
10299,14869,5,1,0.0
10299,14869,6,2,0.0
10299,14869,7,1,0.0
10333,11433,1,10,0.0
10333,11433,2,7,0.0
10333,11433,3,4,0.0
10333,11433,4,8,0.0
10333,11433,5,8,0.0
10333,11433,6,8,0.0
10333,11433,7,8,0.0
10372,10397,1,5,20.0
10372,10397,2,5,0.0
10372,10397,3,4,0.0
10372,10397,4,4,0.0
10372,10397,5,4,0.0
10372,10397,6,4,0.0
10372,10397,7,4,25.0
10372,11292,1,39,38.46153846153847
10372,11292,2,35,37.142857142857146
10372,11292,3,28,3.571428571428571
10372,11292,4,31,22.58064516129032
10372,11292,5,31,12.903225806451612
10372,11292,6,31,19.35483870967742
10372,11292,7,31,9.67741935483871
10372,11298,1,16,31.25
10372,11298,2,12,33.33333333333333
10372,11298,3,12,16.666666666666664
10372,11298,4,12,33.33333333333333
10372,11298,5,12,18.181818181818183
10372,11298,6,12,25.0
10372,11298,7,12,27.27272727272727
10372,12266,1,5,20.0
10372,12266,2,5,40.0
10372,12266,3,4,25.0
10372,12266,4,4,25.0
10372,12266,5,4,25.0
10372,12266,6,4,25.0
10372,12266,7,4,0.0
10372,12892,1,11,27.27272727272727
10372,12892,2,10,20.0
10372,12892,3,8,12.5
10372,12892,4,9,22.22222222222222
10372,12892,5,8,12.5
10372,12892,6,8,0.0
10372,12892,7,8,25.0
10372,13930,1,15,26.666666666666668
10372,13930,2,15,20.0
10372,13930,3,12,25.0
10372,13930,4,12,25.0
10372,13930,5,12,8.333333333333332
10372,13930,6,12,50.0
10372,13930,7,12,16.666666666666664
10372,14771,1,4,0.0
10372,14771,2,4,0.0
10372,14771,3,4,25.0
10372,14771,4,3,0.0
10372,14771,5,3,0.0
10372,14771,6,3,0.0
10372,14771,7,3,33.33333333333333
10397,10140,1,13,7.6923076923076925
10397,10140,2,13,15.384615384615385
10397,10140,3,10,10.0
10397,10140,4,11,18.181818181818183
10397,10140,5,11,27.27272727272727
10397,10140,6,8,12.5
10397,10140,7,11,9.090909090909092
10397,10146,1,9,11.11111111111111
10397,10146,2,9,0.0
10397,10146,3,7,28.57142857142857
10397,10146,4,6,16.666666666666664
10397,10146,5,6,0.0
10397,10146,6,2,0.0
10397,10146,7,6,0.0
10397,10208,1,15,0.0
10397,10208,2,16,12.5
10397,10208,3,11,0.0
10397,10208,4,9,22.22222222222222
10397,10208,5,9,11.11111111111111
10397,10208,6,9,33.33333333333333
10397,10208,7,9,33.33333333333333
10397,10257,1,15,20.0
10397,10257,2,14,21.428571428571427
10397,10257,3,11,0.0
10397,10257,4,11,27.27272727272727
10397,10257,5,11,9.090909090909092
10397,10257,6,8,12.5
10397,10257,7,12,25.0
10397,10299,1,1,0.0
10397,10299,2,1,0.0
10397,10299,3,1,0.0
10397,10299,4,1,0.0
10397,10299,5,1,0.0
10397,10299,6,4,25.0
10397,10299,7,1,0.0
10397,10372,1,5,0.0
10397,10372,2,5,0.0
10397,10372,3,4,25.0
10397,10372,4,4,50.0
10397,10372,5,4,25.0
10397,10372,6,4,0.0
10397,10372,7,4,0.0
10397,10408,1,5,0.0
10397,10408,2,5,0.0
10397,10408,3,4,25.0
10397,10408,4,4,25.0
10397,10408,5,4,50.0
10397,10408,6,4,0.0
10397,10408,7,4,0.0
10397,10423,1,68,11.76470588235294
10397,10423,2,60,6.666666666666667
10397,10423,3,48,8.333333333333332
10397,10423,4,55,12.727272727272727
10397,10423,5,55,20.0
10397,10423,6,44,18.181818181818183
10397,10423,7,55,16.363636363636363
10397,10431,1,36,11.11111111111111
10397,10431,2,33,9.090909090909092
10397,10431,3,26,7.6923076923076925
10397,10431,4,30,13.333333333333334
10397,10431,5,30,23.333333333333332
10397,10431,6,24,25.0
10397,10431,7,30,16.666666666666664
10397,10529,1,33,6.0606060606060606
10397,10529,2,30,3.3333333333333335
10397,10529,3,24,8.333333333333332
10397,10529,4,31,0.0
10397,10529,5,27,14.814814814814813
10397,10529,6,20,5.0
10397,10529,7,31,9.67741935483871
10397,10581,6,4,25.0
10397,10599,1,44,2.272727272727273
10397,10599,2,41,4.878048780487805
10397,10599,3,32,9.375
10397,10599,4,37,10.81081081081081
10397,10599,5,37,10.81081081081081
10397,10599,6,31,12.903225806451612
10397,10599,7,38,7.894736842105263
10397,10685,1,4,0.0
10397,10685,2,4,0.0
10397,10685,3,3,0.0
10397,10685,4,2,0.0
10397,10685,5,2,0.0
10397,10685,6,2,50.0
10397,10685,7,2,0.0
10397,10693,1,61,11.475409836065573
10397,10693,2,58,8.620689655172415
10397,10693,3,46,6.521739130434782
10397,10693,4,50,4.0
10397,10693,5,50,16.0
10397,10693,6,36,25.0
10397,10693,7,42,11.904761904761903
10397,10713,1,5,0.0
10397,10713,2,5,0.0
10397,10713,3,4,0.0
10397,10713,4,7,14.285714285714285
10397,10713,5,7,28.57142857142857
10397,10713,6,4,0.0
10397,10713,7,7,14.285714285714285
10397,10721,1,72,34.72222222222222
10397,10721,2,59,22.033898305084744
10397,10721,3,46,39.130434782608695
10397,10721,4,58,45.614035087719294
10397,10721,5,58,25.862068965517242
10397,10721,6,48,12.5
10397,10721,7,58,32.758620689655174
10397,10781,1,13,7.6923076923076925
10397,10781,2,13,0.0
10397,10781,3,10,10.0
10397,10781,4,11,9.090909090909092
10397,10781,5,11,0.0
10397,10781,6,15,20.0
10397,10781,7,12,16.666666666666664
10397,10785,1,5,0.0
10397,10785,2,5,0.0
10397,10785,3,4,0.0
10397,10785,4,4,25.0
10397,10785,5,4,25.0
10397,10785,6,5,0.0
10397,10785,7,4,0.0
10397,10792,1,23,0.0
10397,10792,2,18,11.11111111111111
10397,10792,3,14,7.142857142857142
10397,10792,4,19,5.263157894736842
10397,10792,5,19,0.0
10397,10792,6,12,8.333333333333332
10397,10792,7,19,26.31578947368421
10397,10800,1,5,60.0
10397,10800,2,5,20.0
10397,10800,3,4,25.0
10397,10800,4,4,0.0
10397,10800,5,4,50.0
10397,10800,6,4,0.0
10397,10800,7,4,0.0
10397,10821,1,82,12.195121951219512
10397,10821,2,72,6.944444444444445
10397,10821,3,57,8.771929824561402
10397,10821,4,70,14.285714285714285
10397,10821,5,66,10.606060606060606
10397,10821,6,48,20.833333333333336
10397,10821,7,70,11.428571428571429
10397,10849,1,5,0.0
10397,10849,2,5,0.0
10397,10849,3,4,25.0
10397,10849,4,4,0.0
10397,10849,5,4,0.0
10397,10849,6,4,25.0
10397,10849,7,4,0.0
10397,10868,1,26,7.6923076923076925
10397,10868,2,26,7.6923076923076925
10397,10868,3,20,5.0
10397,10868,4,22,13.636363636363635
10397,10868,5,23,13.043478260869565
10397,10868,6,15,26.666666666666668
10397,10868,7,22,9.090909090909092
10397,10980,1,24,12.5
10397,10980,2,19,5.263157894736842
10397,10980,3,15,0.0
10397,10980,4,21,9.523809523809524
10397,10980,5,22,4.545454545454546
10397,10980,6,15,6.666666666666667
10397,10980,7,21,28.57142857142857
10397,10990,1,1,100.0
10397,10994,1,41,9.75609756097561
